City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2022-03-09 23:48:44,-42.8794,147.3294,60.66,61,75,1.99
1,Codrington,AU,2022-03-09 23:48:44,-38.2667,141.9667,61.14,63,87,13.09
2,Olga,RU,2022-03-09 23:48:45,43.7444,135.2892,36.97,55,3,2.71
3,Baykit,RU,2022-03-09 23:48:45,61.67,96.37,-23.89,100,94,2.44
4,Hithadhoo,MV,2022-03-09 23:48:46,-0.6,73.0833,82.4,61,45,4.88
5,Micheweni,TZ,2022-03-09 23:48:46,-4.9667,39.8333,79.75,77,97,9.69
6,Novyy Urengoy,RU,2022-03-09 23:48:47,66.0833,76.6333,-5.46,96,98,15.97
7,Fairbanks,US,2022-03-09 23:48:48,64.8378,-147.7164,31.6,89,100,5.75
8,Rambha,IN,2022-03-09 23:48:48,19.5167,85.1,71.49,73,1,4.41
9,Chuy,UY,2022-03-09 23:48:49,-33.6971,-53.4616,69.1,81,98,6.22
10,Georgetown,MY,2022-03-09 23:44:33,5.4112,100.3354,82.33,94,20,3.44
11,Los Llanos De Aridane,ES,2022-03-09 23:48:49,28.6585,-17.9182,58.75,85,75,9.22
12,Caravelas,BR,2022-03-09 23:48:50,-17.7125,-39.2481,77.59,82,96,4.92
13,Tuktoyaktuk,CA,2022-03-09 23:48:50,69.4541,-133.0374,-13.0,77,40,6.91
14,Kwinana,AU,2022-03-09 23:48:51,-32.25,115.7667,79.14,47,76,9.93
15,Atuona,PF,2022-03-09 23:48:51,-9.8,-139.0333,79.03,76,17,13.96
16,Port Alfred,ZA,2022-03-09 23:48:51,-33.5906,26.891,72.52,82,0,6.29
17,Ciechanow,PL,2022-03-09 23:48:52,52.8814,20.62,28.65,71,80,9.26
18,Ponta Do Sol,PT,2022-03-09 23:48:53,32.6667,-17.1,59.72,72,28,3.22
19,Marsh Harbour,BS,2022-03-09 23:48:53,26.5412,-77.0636,75.36,85,0,13.53
20,Saint-Augustin,CA,2022-03-09 23:48:54,51.226,-58.6502,4.24,90,32,4.97
21,Busselton,AU,2022-03-09 23:48:54,-33.65,115.3333,72.05,47,90,7.16
22,Barrow,US,2022-03-09 23:48:55,71.2906,-156.7887,-2.18,78,0,6.91
23,Kahului,US,2022-03-09 23:48:55,20.8947,-156.47,87.82,63,40,21.85
24,Victoria,HK,2022-03-09 23:46:33,22.2855,114.1577,68.05,65,24,12.33
25,Albany,US,2022-03-09 23:45:34,42.6001,-73.9662,33.82,91,100,1.95
26,Jega,NG,2022-03-09 23:48:56,12.2175,4.3792,82.49,12,5,9.78
27,Saint-Francois,FR,2022-03-09 23:48:56,46.4154,3.9054,36.41,87,0,1.14
28,Lompoc,US,2022-03-09 23:48:57,34.6391,-120.4579,69.78,70,0,24.0
29,Souillac,MU,2022-03-09 23:48:57,-20.5167,57.5167,77.38,94,40,2.3
30,Raca,RS,2022-03-09 23:48:58,44.2271,20.9775,32.74,99,100,5.55
31,Raudeberg,NO,2022-03-09 23:48:58,61.9875,5.1352,49.96,45,99,34.99
32,Padang,ID,2022-03-09 23:48:59,-0.9492,100.3543,75.25,85,97,3.91
33,Nikolskoye,RU,2022-03-09 23:48:59,59.7035,30.7861,8.49,99,31,2.84
34,Lebu,CL,2022-03-09 23:49:00,-37.6167,-73.65,57.07,75,0,22.91
35,Rikitea,PF,2022-03-09 23:49:00,-23.1203,-134.9692,78.98,69,59,7.18
36,Bengkulu,ID,2022-03-09 23:49:01,-3.8004,102.2655,76.17,84,99,3.8
37,Nanortalik,GL,2022-03-09 23:49:01,60.1432,-45.2371,11.21,75,37,13.31
38,Richards Bay,ZA,2022-03-09 23:49:02,-28.783,32.0377,71.28,94,88,5.3
39,Dharampur,IN,2022-03-09 23:49:03,20.5333,73.1833,76.78,42,0,3.2
40,Mataura,NZ,2022-03-09 23:49:03,-46.1927,168.8643,70.56,57,99,3.8
41,Hasaki,JP,2022-03-09 23:49:04,35.7333,140.8333,45.0,52,16,9.04
42,Rawson,AR,2022-03-09 23:49:04,-43.3002,-65.1023,66.85,28,1,12.39
43,Tateyama,JP,2022-03-09 23:49:05,34.9833,139.8667,50.27,58,7,7.43
44,Moctezuma,MX,2022-03-09 23:49:05,29.8,-109.6667,68.4,14,0,15.26
45,Butaritari,KI,2022-03-09 23:51:28,3.0707,172.7902,81.18,79,59,16.08
46,Kaeo,NZ,2022-03-09 23:51:28,-35.1,173.7833,73.33,69,90,11.81
47,Lagoa,PT,2022-03-09 23:51:29,39.05,-27.9833,61.5,85,88,34.94
48,Puerto Ayora,EC,2022-03-09 23:51:29,-0.7393,-90.3518,75.54,97,37,5.01
49,Jamestown,US,2022-03-09 23:46:33,42.097,-79.2353,33.39,10,66,4.76
50,Kangaatsiaq,GL,2022-03-09 23:51:30,68.3065,-53.4641,0.93,97,100,6.6
51,Bluff,NZ,2022-03-09 23:51:30,-46.6,168.3333,62.8,78,100,5.73
52,Alofi,NU,2022-03-09 23:51:31,-19.0595,-169.9187,82.29,83,75,6.91
53,Kushiro,JP,2022-03-09 23:51:31,42.975,144.3747,31.15,74,20,1.14
54,Guerrero Negro,MX,2022-03-09 23:51:32,27.9769,-114.0611,63.86,46,0,15.84
55,Hilo,US,2022-03-09 23:48:30,19.7297,-155.09,82.13,77,0,16.11
56,Strezhevoy,RU,2022-03-09 23:51:32,60.7333,77.5889,-27.42,100,22,4.32
57,La Ronge,CA,2022-03-09 23:51:33,55.1001,-105.2842,8.85,40,20,9.22
58,Korsakov,RU,2022-03-09 23:51:33,46.6328,142.7813,19.24,88,10,2.42
59,Harper,LR,2022-03-09 23:51:33,4.375,-7.7169,80.44,88,98,7.83
60,Ushuaia,AR,2022-03-09 23:51:34,-54.8,-68.3,47.86,71,40,16.11
61,Madera,US,2022-03-09 23:51:34,37.1666,-119.8343,71.44,38,9,7.23
62,Auki,SB,2022-03-09 23:51:35,-8.7676,160.7034,85.84,65,58,2.19
63,Kloulklubed,PW,2022-03-09 23:51:35,7.0419,134.2556,82.65,78,75,9.24
64,Margate,GB,2022-03-09 23:49:39,51.3813,1.3862,50.88,75,92,4.0
65,Bethel,US,2022-03-09 23:51:36,41.3712,-73.414,34.38,91,100,3.0
66,Muisne,EC,2022-03-09 23:51:36,0.6,-80.0333,77.67,86,98,5.46
67,Saldanha,ZA,2022-03-09 23:48:44,-33.0117,17.9442,62.65,92,20,17.6
68,Cape Town,ZA,2022-03-09 23:51:37,-33.9258,18.4232,68.11,88,0,20.71
69,Upernavik,GL,2022-03-09 23:51:37,72.7868,-56.1549,-12.1,97,100,1.66
70,Hovd,MN,2022-03-09 23:51:38,48.0056,91.6419,9.34,60,46,6.58
71,Punta Arenas,CL,2022-03-09 23:51:38,-53.15,-70.9167,51.91,71,40,12.66
72,Pacific Grove,US,2022-03-09 23:51:39,36.6177,-121.9166,70.48,63,0,15.99
73,Hamilton,US,2022-03-09 23:50:24,39.1834,-84.5333,46.78,50,4,3.27
74,Vagay,RU,2022-03-09 23:51:39,57.9375,69.0217,-22.83,100,91,2.71
75,Mantua,IT,2022-03-09 23:51:40,45.1667,10.7833,40.91,66,0,1.83
76,Bredasdorp,ZA,2022-03-09 23:48:26,-34.5322,20.0403,67.28,88,47,4.61
77,Yellowknife,CA,2022-03-09 23:51:17,62.456,-114.3525,1.92,55,75,17.27
78,Tiksi,RU,2022-03-09 23:51:41,71.6872,128.8694,-20.42,100,100,0.27
79,San Patricio,US,2022-03-09 23:51:41,28.017,-97.5169,65.53,47,21,7.25
80,Edd,ER,2022-03-09 23:51:42,13.9297,41.6925,81.23,53,31,17.36
81,Noumea,NC,2022-03-09 23:50:39,-22.2763,166.4572,84.18,69,7,8.01
82,Octeville,FR,2022-03-09 23:51:42,49.6261,-1.6435,50.52,71,0,9.22
83,Jiangyin,CN,2022-03-09 23:51:43,31.9282,120.3126,54.03,76,5,10.16
84,Bambous Virieux,MU,2022-03-09 23:51:43,-20.3428,57.7575,77.25,94,40,2.3
